"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M",
"Geography","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!White alone","Margin of Error!!Total:!!White alone","Estimate!!Total:!!Black or African American alone","Margin of Error!!Total:!!Black or African American alone","Estimate!!Total:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!American Indian and Alaska Native alone","Estimate!!Total:!!Asian alone","Margin of Error!!Total:!!Asian alone","Estimate!!Total:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Some Other Race alone","Margin of Error!!Total:!!Some Other Race alone","Estimate!!Total:!!Two or More Races:","Margin of Error!!Total:!!Two or More Races:","Estimate!!Total:!!Two or More Races:!!Two races including Some Other Race","Margin of Error!!Total:!!Two or More Races:!!Two races including Some Other Race","Estimate!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races","Margin of Error!!Total:!!Two or More Races:!!Two races excluding Some Other Race, and three or more races",
"0500000US31185","York County, Nebraska","14212","*****","13111","155","160","83","77","45","93","31","0","16","136","74","635","195","162","119","473","171",
"0500000US32001","Churchill County, Nevada","25409","*****","19628","402","484","205","1031","156","716","161","46","50","1273","333","2231","473","936","342","1295","326",
"0500000US32003","Clark County, Nevada","2265926","*****","1130071","6352","272038","3321","23822","1987","230540","2258","17769","920","285708","5461","305978","6640","179772","5699","126206","4211",
"0500000US32005","Douglas County, Nevada","49476","*****","41603","636","332","133","722","138","1057","167","93","31","2327","538","3342","477","2063","389","1279","304",
"0500000US32007","Elko County, Nevada","53600","*****","38092","997","464","132","2703","290","700","173","93","30","4457","1034","7091","1096","5763","1085","1328","328",
"0500000US32009","Esmeralda County, Nevada","980","265","881","254","2","4","13","14","19","32","0","14","0","14","65","64","51","61","14","17",
"0500000US32011","Eureka County, Nevada","1622","265","1469","252","1","2","86","79","9","19","0","14","57","69","0","14","0","14","0","14",
"0500000US32013","Humboldt County, Nevada","17266","*****","13091","453","131","78","669","133","243","26","41","42","1569","424","1522","322","1147","312","375","128",
"0500000US32015","Lander County, Nevada","5728","*****","4858","326","203","222","236","99","23","17","0","19","35","48","373","201","25","56","348","191",
"0500000US32017","Lincoln County, Nevada","4507","*****","3808","247","204","73","164","127","0","14","4","8","56","45","271","189","203","178","68","62",
"0500000US32019","Lyon County, Nevada","59435","*****","46703","712","563","160","1472","215","860","147","48","58","3888","669","5901","715","2967","638","2934","390",
"0500000US32021","Mineral County, Nevada","4568","*****","2965","312","194","86","978","188","0","14","0","14","139","154","292","160","146","119","146","98",
"0500000US32023","Nye County, Nevada","51698","*****","39991","758","1228","342","590","157","1005","148","231","106","3562","713","5091","1001","2817","913","2274","432",
"0500000US32027","Pershing County, Nevada","6587","*****","4880","192","263","89","217","111","101","72","1","9","556","250","569","198","351","187","218","75",
"0500000US32029","Storey County, Nevada","4095","*****","3433","271","81","46","4","8","45","70","0","14","28","32","504","222","169","131","335","166",
"0500000US32031","Washoe County, Nevada","486674","*****","330713","2447","12133","723","6355","592","26126","911","3544","262","52118","2775","55685","3013","33358","2798","22327","1474",
"0500000US32033","White Pine County, Nevada","8997","*****","7161","238","659","133","486","182","63","51","0","19","137","89","491","178","273","153","218","128",
"0500000US32510","Carson City, Nevada","58249","*****","43436","972","1243","190","1197","273","1556","221","14","15","4710","730","6093","823","4062","799","2031","334",
"0500000US33001","Belknap County, New Hampshire","63914","*****","60430","372","476","242","166","93","782","123","12","21","507","265","1541","342","702","269","839","233",
"0500000US33003","Carroll County, New Hampshire","50679","*****","48417","162","288","114","248","154","421","51","0","28","118","92","1187","263","508","165","679","192",
